surah_no,surah_name_en,surah_name_roman,ayah_no_surah,ayah_no_quran,,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words,emotion
1,The Opener,Al-Fatihah,0,0,,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"In the Name of Allah,the Most Compassionate, Most Merciful.",1,1,1,1,7,6236,Meccan,FALSE,,4,"[بِسْمِ,ٱللَّهِ,ٱلرَّحْمَٰنِ,ٱلرَّحِيمِ]",mercy
1,The Opener,Al-Fatihah,1,1,,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,"All praise is due to God, the Lord of the Universe;",1,1,1,1,7,6236,Meccan,FALSE,,4,"[ٱلْحَمْدُ,لِلَّهِ,رَبِّ,ٱلْعَٰلَمِينَ]",hope
1,The Opener,Al-Fatihah,2,2,,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"the Beneficent, the Merciful;",1,1,1,1,7,6236,Meccan,FALSE,,2,"[ٱلرَّحْمَٰنِ,ٱلرَّحِيمِ]",mercy
1,The Opener,Al-Fatihah,3,3,,مَٰلِكِ يَوْمِ ٱلدِّينِ,Lord of the Day of Judgement.,1,1,1,1,7,6236,Meccan,FALSE,,3,"[مَٰلِكِ,يَوْمِ,ٱلدِّينِ]",divine justice
1,The Opener,Al-Fatihah,4,4,,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,"You alone we worship, and to You alone we turn for help.",1,1,1,1,7,6236,Meccan,FALSE,,4,"[إِيَّاكَ,نَعْبُدُ,وَإِيَّاكَ,نَسْتَعِينُ]",hope
1,The Opener,Al-Fatihah,5,5,,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,Guide us to the straight path:,1,1,1,1,7,6236,Meccan,FALSE,,3,"[ٱهْدِنَا,ٱلصِّرَٰطَ,ٱلْمُسْتَقِيمَ]",hope
1,The Opener,Al-Fatihah,6,6,,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,"the path of those You have blessed; not of those who have incurred Your wrath, nor of those who have gone astray.",1,1,1,1,7,6236,Meccan,FALSE,,9,"[صِرَٰطَ,ٱلَّذِينَ,أَنْعَمْتَ,عَلَيْهِمْ,غَيْرِ,ٱلْمَغْضُوبِ,عَلَيْهِمْ,وَلَا,ٱلضَّآلِّينَ]",mercy
2,The Cow,Al-Baqarah,7,7,,الٓمٓ,Alif Lam Mim.,2,1,1,1,286,6236,Medinan,FALSE,,1,[الٓمٓ],divine justice
2,The Cow,Al-Baqarah,1,8,,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,"This is the Book; there is no doubt in it. It is a guide for those who are mindful of God,",2,1,1,1,286,6236,Medinan,FALSE,,9,"[ذَٰلِكَ,ٱلْكِتَٰبُ,لَا,رَيْبَ,ۛ,فِيهِ,ۛ,هُدًۭى,لِّلْمُتَّقِينَ]",divine justice
2,The Cow,Al-Baqarah,2,9,,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,"who believe in the unseen, and are steadfast in prayer, and spend out of what We have provided them with;",2,1,1,1,286,6236,Medinan,FALSE,,8,"[ٱلَّذِينَ,يُؤْمِنُونَ,بِٱلْغَيْبِ,وَيُقِيمُونَ,ٱلصَّلَوٰةَ,وَمِمَّا,رَزَقْنَٰهُمْ,يُنفِقُونَ]",hope
2,The Cow,Al-Baqarah,3,10,,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,"those who believe in the revelation sent down to you and in what was sent before you, and firmly believe in the life to come --",2,1,1,1,286,6236,Medinan,FALSE,,12,"[وَٱلَّذِينَ,يُؤْمِنُونَ,بِمَآ,أُنزِلَ,إِلَيْكَ,وَمَآ,أُنزِلَ,مِن,قَبْلِكَ,وَبِٱلْءَاخِرَةِ,هُمْ,يُوقِنُونَ]",hope
2,The Cow,Al-Baqarah,4,11,,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,they are the people who are rightly following their Lord and it is they who shall be successful.,2,1,1,1,286,6236,Medinan,FALSE,,9,"[أُو۟لَٰٓئِكَ,عَلَىٰ,هُدًۭى,مِّن,رَّبِّهِمْ,ۖ,وَأُو۟لَٰٓئِكَ,هُمُ,ٱلْمُفْلِحُونَ]",hope
2,The Cow,Al-Baqarah,5,12,,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"As for those who are bent on denying the truth, it makes no difference to them whether you warn them or not, they will not believe.",2,1,1,1,286,6236,Medinan,FALSE,,11,"[إِنَّ,ٱلَّذِينَ,كَفَرُوا۟,سَوَآءٌ,عَلَيْهِمْ,ءَأَنذَرْتَهُمْ,أَمْ,لَمْ,تُنذِرْهُمْ,لَا,يُؤْمِنُونَ]",hope
2,The Cow,Al-Baqarah,6,13,,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,"God has sealed their hearts and their ears, and over their eyes there is a covering. They will have a terrible punishment.",2,1,1,1,286,6236,Medinan,FALSE,,14,"[خَتَمَ,ٱللَّهُ,عَلَىٰ,قُلُوبِهِمْ,وَعَلَىٰ,سَمْعِهِمْ,ۖ,وَعَلَىٰٓ,أَبْصَٰرِهِمْ,غِشَٰوَةٌۭ,ۖ,وَلَهُمْ,عَذَابٌ,عَظِيمٌۭ]",grief
2,The Cow,Al-Baqarah,7,14,,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,"There are some who say, ""We believe in God and the Last Day,"" yet they are not believers.",3,1,1,1,286,6236,Medinan,FALSE,,11,"[وَمِنَ,ٱلنَّاسِ,مَن,يَقُولُ,ءَامَنَّا,بِٱللَّهِ,وَبِٱلْيَوْمِ,ٱلْءَاخِرِ,وَمَا,هُم,بِمُؤْمِنِينَ]",divine justice
2,The Cow,Al-Baqarah,8,15,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,"They seek to deceive God and the believers, but they only deceive themselves, though they do not realize it.",3,1,1,1,286,6236,Medinan,FALSE,,10,"[يُخَٰدِعُونَ,ٱللَّهَ,وَٱلَّذِينَ,ءَامَنُوا۟,وَمَا,يَخْدَعُونَ,إِلَّآ,أَنفُسَهُمْ,وَمَا,يَشْعُرُونَ]",divine justice
